Word,L2.Val.Mean,L2.Val.SD,L2.Val.N,L2.Aro.Mean,L2.Aro.SD,L2.Aro.N,L1.Val.Mean,L1.Val.SD,L1.Val.N,L1.Val.Mean.Young,L1.Val.SD.Young,L1.Val.N.Young,L1.Aro.Mean,L1.Aro.SD,L1.Aro.N,L1.Aro.Mean.Young,L1.Aro.SD.Young,L1.Aro.N.Young,Freq
prevail,5.67,2.04,30,4.4,1.86,42,5.73,2.53,22,5.25,2.82,8,4.55,2.84,22,4.78,3.11,9,107
prey,4.57,1.91,14,NA,NA,NA,3.74,1.24,19,4,1.2,8,4.56,2.68,18,5,2.89,7,281
prick,3.13,1.41,15,4.5,1.84,24,2.81,1.21,21,2.43,0.79,7,4.26,2.61,23,3.73,2.87,11,720
prince,6.78,1.65,37,5.52,2.16,48,5.44,2.2,18,4.64,2.06,11,5.15,3.28,20,5.11,3.95,9,2299
principle,5.93,1.87,15,4.47,1.94,17,5,2.03,19,4.9,1.1,10,3.27,1.86,22,4,1.94,9,395
printer,5.14,1.96,14,NA,NA,NA,5.65,1.5,20,5.18,1.54,11,3.68,2.61,22,4.56,2.74,9,107
privacy,5.49,1.8,59,4.6,2.25,57,6.36,1.85,36,6.69,2.02,16,3.95,2.38,44,3.88,2.44,26,774
probation,3.57,1.91,14,NA,NA,NA,3.6,2.06,20,4.33,2.5,6,4.3,2.67,23,5.45,2.62,11,299
proceed,5.67,1.95,15,4.53,2.29,17,5.7,0.86,20,5.57,0.79,7,3.43,1.96,21,4.43,2.23,7,1066
process,5.5,2.13,16,4.3,2.35,27,5.62,1.66,21,5.42,1.83,12,3.9,2.34,20,3.56,2.07,9,1427
processing,4.63,1.08,27,4.64,1.62,33,5.53,1.47,19,5.33,1.8,9,3.39,1.85,23,3.5,2.27,10,193
productive,6.43,2.13,37,4.96,1.82,48,7.37,1.07,19,7.33,1.12,9,4.6,2.56,20,5.86,2.91,7,123
program,5.11,1.69,27,4.21,1.93,33,5.5,1.65,22,5.92,2.02,12,3.9,2.13,20,4.11,1.9,9,2174
promising,NA,NA,NA,6,2.14,22,6.95,1.5,21,6.33,1.75,6,4.7,2.27,20,6.1,1.91,10,336
proper,NA,NA,NA,4.81,2.4,21,5.68,2.14,19,5.17,2.32,6,2.85,2.13,20,2.86,2.54,7,1289
property,5.38,1.39,26,4.73,2,33,6,1.76,21,5.92,2.11,12,4.75,2.05,20,5.11,1.96,9,1698
